name,id,institution,longitude,latitude,keywords
phoebus01.atla.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.atla:port=ge-7/1/2:link=phoebus,Internet2,,,Internet2 Phoebus
phoebus00.atla.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.atla:port=ge-7/1/1:link=phoebus,Internet2,,,Internet2 Phoebus
NYSERNET.newy.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.newy:port=xe-0/1/2:link=*,Internet2,,,
ESNET.newy.net.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.newy:port=xe-1/0/1:link=*,Internet2,,,
MAX.newy.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.newy:port=xe-0/0/3:link=*,Internet2,,,
netherlight.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.newy:port=ge-7/1/2:link=*,,,,
jstor.newy.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.newy:port=ge-7/1/1:link=*,Internet2,,,JSTOR,  GEANT
openflow.newy.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.newy:port=ge-7/0/4:link=openflow,Internet2,,,Internet2 Openflow
phoebus00.newy.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.newy:port=ge-7/0/3:link=phoebus,Internet2,,,Internet2 Phoebus
phoebus01.newy.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.newy:port=ge-7/0/7:link=phoebus,Internet2,,,Internet2 Phoebus
NOX-new.newy.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.newy:port=ae0:link=nox,Internet2,,,Internet2 nox
bbn-new.newy.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.newy:port=ae0:link=bbn,Internet2,,,bbn internet2
NOX.newy.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.newy:port=ae0:link=nox,Internet2,,,Internet2 NOX
bbn.newy.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.newy:port=ae0:link=bbn,Internet2,,,Internet2 BBN
starlight.uslhcnet.org,urn:ogf:network:domain=uslhcnet.org:node=vlsr7:port=0-4-2:link=starlight,USLHCnet,,,
3ROX.wash.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.wash:port=xe-1/0/2:link=*,Internet2,,,
idc.ampath.net,urn:ogf:network:domain=ion.internet2.edu:node=rtr.atla:port=xe-0/0/2:link=ampath,AMPATH,,,
obs-newy.net.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.newy:port=xe-1/1/0:link=obs,Internet2,,,
MAGPI.newy.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.newy:port=xe-0/0/3:link=*,Internet2,,,
MERIT.chic.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.chic:port=xe-2/1/0:link=*,Internet2,,,
GPN.chic.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.chic:port=xe-1/0/3:link=*,Internet2,,,
MREN.chic.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.chic:port=xe-2/0/0:link=*,Internet2,,,
NYSERNET.chic.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.chic:port=xe-2/0/1:link=*,Internet2,,,
terapaths.ion.umich.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.chic:port=xe-2/1/0:link=*,,,,
nox.chic.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.chic:port=xe-2/1/1:link=nox,Internet2,,,Internet2 NOX
phoebus00.chic.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.chic:port=xe-0/1/0:link=phoebus,Internet2,,,Internet2 Phoebus
STARLIGHT.chic.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.chic:port=xe-0/0/1:link=*,Internet2,,,
esnet-chic.net.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.chic:port=xe-0/1/2:link=es.net,Internet2,,,
uslchnet.chic.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.chic:port=xe-0/0/1:link=uslhcnet,Internet2,,,Internet2 USLHCNet
SOX.chic.ion.internet2.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.chic:port=xe-2/0/3:link=*,Internet2,,,
dcn.umnet.umich.edu,urn:ogf:network:domain=ion.internet2.edu:node=rtr.chic:port=xe-2/1/0:link=umich,University of Michigan,,,
